datetime,windspeed
4/9/2021,18
4/10/2021,18
4/11/2021,18
4/12/2021,18
4/13/2021,15
4/14/2021,19
4/15/2021,24
4/16/2021,14
4/17/2021,11
4/18/2021,11
4/19/2021,27
4/20/2021,18
4/21/2021,16
4/22/2021,16
4/23/2021,24
4/24/2021,18
4/25/2021,15
4/26/2021,22
4/27/2021,19
4/28/2021,18
4/29/2021,18
4/30/2021,18
5/1/2021,26
5/2/2021,37
5/3/2021,29
5/4/2021,18
5/5/2021,22
5/6/2021,18
5/7/2021,18
5/8/2021,24
5/9/2021,23
5/10/2021,15
5/11/2021,15
5/12/2021,18
5/13/2021,18
5/14/2021,18
5/15/2021,18
5/16/2021,18
5/17/2021,32
5/18/2021,18
5/19/2021,21
5/20/2021,26
5/21/2021,19
5/22/2021,21
5/23/2021,37
5/24/2021,23
5/25/2021,23
5/26/2021,15
5/27/2021,24
5/28/2021,28
5/29/2021,26
5/30/2021,19
5/31/2021,22
6/1/2021,18
6/2/2021,37
6/3/2021,30
6/4/2021,22
6/5/2021,29
6/6/2021,26
6/7/2021,31
6/8/2021,30
6/9/2021,32
6/10/2021,31
6/11/2021,30
6/12/2021,35
6/13/2021,30
6/14/2021,30
6/15/2021,25
6/16/2021,34
6/17/2021,26
6/18/2021,18
6/19/2021,31
6/20/2021,33
6/21/2021,29
6/22/2021,28
6/23/2021,30
6/24/2021,25
6/25/2021,31
6/26/2021,28
6/27/2021,37
6/28/2021,15
6/29/2021,20
6/30/2021,23
7/1/2021,27
7/2/2021,31
7/3/2021,28
7/4/2021,37
7/5/2021,23
7/6/2021,22
7/7/2021,32
7/8/2021,31
7/9/2021,27
7/10/2021,23
7/11/2021,21
7/12/2021,28
7/13/2021,26
7/14/2021,26
7/15/2021,18
7/16/2021,28
7/17/2021,18
7/18/2021,30
7/19/2021,29
7/20/2021,26
7/21/2021,18
7/22/2021,18
7/23/2021,11
7/24/2021,15
7/25/2021,18
7/26/2021,18
7/27/2021,27
7/28/2021,22
7/29/2021,21
7/30/2021,22
7/31/2021,27
8/1/2021,18
8/2/2021,33
8/3/2021,26
8/4/2021,21
8/5/2021,18
8/6/2021,21
8/7/2021,18
8/8/2021,26
8/9/2021,29
8/10/2021,28
8/11/2021,26
8/12/2021,28
8/13/2021,18
8/14/2021,22
8/15/2021,26
8/16/2021,21
8/17/2021,21
8/18/2021,24
8/19/2021,21
8/20/2021,15
8/21/2021,24
8/22/2021,22
8/23/2021,20
8/24/2021,24
8/25/2021,18
8/26/2021,18
8/27/2021,19
8/28/2021,15
8/29/2021,19
8/30/2021,15
8/31/2021,22
9/1/2021,18
9/2/2021,15
9/3/2021,12
9/4/2021,15
9/5/2021,17
9/6/2021,19
9/7/2021,13
9/8/2021,11
9/9/2021,18
9/10/2021,10
9/11/2021,18
9/12/2021,22
9/13/2021,18
9/14/2021,18
9/15/2021,22
9/16/2021,18
9/17/2021,18
9/18/2021,15
9/19/2021,17
9/20/2021,21
9/21/2021,17
9/22/2021,18
9/23/2021,18
9/24/2021,15
9/25/2021,11
9/26/2021,8
9/27/2021,15
9/28/2021,15
9/29/2021,22
9/30/2021,29
10/1/2021,15
10/2/2021,18
10/3/2021,18
10/4/2021,18
10/5/2021,11
10/6/2021,18
10/7/2021,8
10/8/2021,11
10/9/2021,15
10/10/2021,8
10/11/2021,12
10/12/2021,11
10/13/2021,8
10/14/2021,8
10/15/2021,10
10/16/2021,12
10/17/2021,8
10/18/2021,11
10/19/2021,8
10/20/2021,21
10/21/2021,18
10/22/2021,22
10/23/2021,15
10/24/2021,18
10/25/2021,16
10/26/2021,11
10/27/2021,18
10/28/2021,8
10/29/2021,5
10/30/2021,8
10/31/2021,13
11/1/2021,18
11/2/2021,15
11/3/2021,8
11/4/2021,8
11/5/2021,15
11/6/2021,18
11/7/2021,8
11/8/2021,9
11/9/2021,8
11/10/2021,15
11/11/2021,15
11/12/2021,4
11/13/2021,4
11/14/2021,13
11/15/2021,22
11/16/2021,8
11/17/2021,15
11/18/2021,11
11/19/2021,11
11/20/2021,12
11/21/2021,11
11/22/2021,15
11/23/2021,18
11/24/2021,8
11/25/2021,15
11/26/2021,11
11/27/2021,15
11/28/2021,21
11/29/2021,13
11/30/2021,11
12/1/2021,11
12/2/2021,8
12/3/2021,9
12/4/2021,11
12/5/2021,4
12/6/2021,11
12/7/2021,8
12/8/2021,7
12/9/2021,2
12/10/2021,6
12/11/2021,4
12/12/2021,8
12/13/2021,11
12/14/2021,11
12/15/2021,13
12/16/2021,18
12/17/2021,11
12/18/2021,4
12/19/2021,11
12/20/2021,13
12/21/2021,8
12/22/2021,8
12/23/2021,15
12/24/2021,8
12/25/2021,8
12/26/2021,15
12/27/2021,11
12/28/2021,15
12/29/2021,9
12/30/2021,8
12/31/2021,13
1/1/2022,4
1/2/2022,11
1/3/2022,11
1/4/2022,17
1/5/2022,22
1/6/2022,18
1/7/2022,15
1/8/2022,8
1/9/2022,9
1/10/2022,15
1/11/2022,8
1/12/2022,8
1/13/2022,8
1/14/2022,8
1/15/2022,11
1/16/2022,11
1/17/2022,8
1/18/2022,15
1/19/2022,18
1/20/2022,15
1/21/2022,22
1/22/2022,34
1/23/2022,18
1/24/2022,11
1/25/2022,15
1/26/2022,8
1/27/2022,8
1/28/2022,15
1/29/2022,11
1/30/2022,8
1/31/2022,8
2/1/2022,15
2/2/2022,22
2/3/2022,22
2/4/2022,18
2/5/2022,18
2/6/2022,18
2/7/2022,18
2/8/2022,18
2/9/2022,8
2/10/2022,8
2/11/2022,8
2/12/2022,15
2/13/2022,18
2/14/2022,15
2/15/2022,11
2/16/2022,12
2/17/2022,11
2/18/2022,18
2/19/2022,11
2/20/2022,18
2/21/2022,15
2/22/2022,22
2/23/2022,15
2/24/2022,15
2/25/2022,11
2/26/2022,22
2/27/2022,18
2/28/2022,18
3/1/2022,15
3/2/2022,18
3/3/2022,15
3/4/2022,11
3/5/2022,11
3/6/2022,18
3/7/2022,22
3/8/2022,22
3/9/2022,18
3/10/2022,18
3/11/2022,11
3/12/2022,8
3/13/2022,11
3/14/2022,11
3/15/2022,11
3/16/2022,15
3/17/2022,11
3/18/2022,15
3/19/2022,18
3/20/2022,18
3/21/2022,8
